iter	TotalF1	MultiClass
0	0.4514481385	1.36068668
1	0.4743991663	1.337847544
2	0.4712214997	1.316931271
3	0.4778403899	1.297957481
4	0.4773891437	1.280917754
5	0.4785229264	1.265848739
6	0.4848774206	1.250945848
7	0.4899425523	1.237900293
8	0.486223407	1.226226398
9	0.4862374819	1.214206865
10	0.4921973692	1.204054547
11	0.491914818	1.19446326
12	0.4930910531	1.185631585
13	0.4932042298	1.17731709
14	0.4945461428	1.168785391
15	0.4947658801	1.161559886
16	0.4961314278	1.153488954
17	0.4964389889	1.146775084
18	0.4991507637	1.140494355
19	0.4998579302	1.134060125
20	0.4998679076	1.127980794
21	0.5027516045	1.122198195
22	0.5034702302	1.116733899
23	0.50392219	1.111973927
24	0.5058645975	1.106952435
25	0.5064156901	1.102844221
26	0.5058835894	1.098864436
27	0.5084061829	1.095036892
28	0.5092501423	1.091157028
29	0.5126556709	1.086956813
30	0.5129441728	1.08323962
31	0.5134431428	1.080486015
32	0.5139072418	1.077876065
33	0.5159196957	1.075305386
34	0.5165463717	1.07190813
35	0.517121512	1.069407746
36	0.5170978337	1.066584477
37	0.5190110356	1.063888366
38	0.5206841752	1.061489899
39	0.5200960931	1.058916548
40	0.5214125733	1.056566482
41	0.5217485614	1.054720743
42	0.5217958705	1.052373571
43	0.5230793861	1.050725344
44	0.5234272543	1.049179564
45	0.5244092147	1.047309919
46	0.5246324978	1.045788104
47	0.5251252705	1.043809019
48	0.5251193175	1.042239339
49	0.5253939296	1.04111331
50	0.5257468943	1.04007238
51	0.5260350661	1.038821555
52	0.5263361101	1.03747051
53	0.526748819	1.036055485
54	0.5273392743	1.03509937
55	0.5273450928	1.033897111
56	0.5283270968	1.032846813
57	0.5280390281	1.031692654
58	0.5288626255	1.030504444
59	0.530107067	1.029531885
60	0.5307713566	1.028472839
61	0.5314480399	1.027510997
62	0.531651957	1.026693186
63	0.5311040784	1.025808199
64	0.5318769968	1.025116848
65	0.5315307137	1.02403592
66	0.5319959832	1.023045874
67	0.5319136817	1.022702636
68	0.5318485378	1.021919182
69	0.5322494765	1.021197657
70	0.5329408306	1.020307349
71	0.5334420419	1.019492168
72	0.5338017082	1.018791291
73	0.5342170592	1.018028036
74	0.5344211212	1.017120358
75	0.5345645693	1.016064459
76	0.5351140527	1.015159702
77	0.5352786098	1.014493856
78	0.5355404907	1.014065606
79	0.5357670239	1.013419426
80	0.5367462492	1.01283129
81	0.5365566894	1.01222502
82	0.5361354409	1.011660991
83	0.5362682267	1.011521847
84	0.5358632869	1.011065179
85	0.5357287443	1.010528326
86	0.5360577481	1.009797932
87	0.5362299026	1.009132388
88	0.5372095706	1.008578401
89	0.5370869909	1.008284625
90	0.5370700044	1.007668951
91	0.537454328	1.007120547
92	0.5378431408	1.006541583
93	0.5386360671	1.006143829
94	0.538362556	1.005715582
95	0.5393616576	1.005192799
96	0.5386991641	1.004636992
97	0.5391950338	1.004306414
98	0.539285197	1.003916388
99	0.5395973896	1.003656528
100	0.5400060232	1.003281831
101	0.5403420486	1.002815519
102	0.5407795207	1.002260825
103	0.541118896	1.001885728
104	0.5414872964	1.001223721
105	0.5415935909	1.000882602
106	0.5419382914	1.000530392
107	0.5428127002	1.000114315
108	0.5430487081	0.9996496114
109	0.5434929186	0.9993040745
110	0.5434274554	0.9989398279
111	0.543672733	0.9986545317
112	0.5437608511	0.998280149
113	0.5438333705	0.9979903251
114	0.5435135168	0.9976152734
115	0.5435298637	0.997258296
116	0.5435230802	0.9969531642
117	0.5445100637	0.9966136868
118	0.5445393537	0.9960774462
119	0.5446645218	0.9957465393
120	0.5447817391	0.9955309382
121	0.5447873955	0.9952504273
122	0.5448583691	0.995196729
123	0.5451132834	0.9947605355
124	0.5452893945	0.9945085572
125	0.5451825838	0.994278329
