iter	Passed	Remaining
0	199	239677
1	360	215999
2	466	186186
3	596	178390
4	699	167182
5	791	157578
6	900	153507
7	986	147022
8	1081	143052
9	1190	141615
10	1293	139788
11	1383	136998
12	1486	135729
13	1571	133106
14	1686	133250
15	1769	130977
16	1870	130164
17	1973	129582
18	2079	129277
19	2204	130038
20	2302	129255
21	2424	129847
22	2529	129450
23	2618	128315
24	2711	127433
25	2820	127359
26	2910	126458
27	3005	125786
28	3110	125583
29	3214	125382
30	3312	124919
31	3410	124501
32	3504	123924
33	3583	122893
34	3696	123029
35	3800	122882
36	3897	122514
37	4012	122690
38	4132	123030
39	4243	123066
40	4349	122948
41	4453	122797
42	4568	122915
43	4683	123045
44	4788	122905
45	4891	122711
46	4992	122467
47	5094	122275
48	5219	122616
49	5320	122373
50	5443	122647
51	5539	122287
52	5666	122630
53	5756	122158
54	5857	121949
55	5969	121950
56	6085	122032
57	6215	122373
58	6334	122496
59	6445	122469
60	6560	122500
61	6679	122602
62	6795	122648
63	6908	122628
64	7018	122551
65	7148	122820
66	7256	122717
67	7324	121938
68	7439	121941
69	7547	121837
70	7660	121806
71	7785	121971
72	7876	121607
73	7979	121412
74	8077	121162
75	8178	120950
76	8285	120833
77	8404	120896
78	8504	120679
79	8617	120646
80	8707	120296
81	8827	120349
82	8937	120278
83	8991	119463
84	9102	119399
85	9216	119389
86	9327	119333
87	9425	119101
88	9529	118960
89	9642	118929
90	9745	118763
91	9853	118667
92	9969	118674
93	10064	118412
94	10183	118446
95	10303	118492
96	10413	118412
97	10526	118368
98	10635	118284
99	10748	118235
100	10848	118043
101	10961	118001
102	11072	117930
103	11194	117968
104	11296	117801
105	11397	117626
106	11502	117494
107	11611	117406
108	11736	117470
109	11838	117312
110	11948	117220
111	12053	117094
112	12149	116869
113	12258	116776
114	12384	116849
115	12505	116860
116	12620	116821
117	12734	116767
118	12850	116731
119	12947	116529
120	13040	116290
121	13152	116220
122	13195	115545
123	13332	115688
124	13440	115585
125	13539	115406
126	13656	115378
127	13789	115484
128	13919	115564
129	14039	115557
130	14141	115396
131	14246	115269
132	14380	115364
133	14495	115311
134	14625	115377
135	14754	115432
136	14890	115535
137	15012	115528
138	15148	115632
139	15272	115635
140	15386	115559
141	15425	114932
142	15540	114869
143	15669	114909
144	15785	114855
145	15901	114796
146	16033	114855
147	16155	114836
148	16273	114791
149	16393	114753
150	16526	114807
151	16661	114878
152	16791	114905
153	16891	114733
154	17003	114636
155	17109	114500
156	17223	114419
157	17339	114353
158	17458	114303
159	17581	114281
160	17684	114126
161	17859	114434
162	18000	114519
163	18127	114513
164	18247	114463
165	18361	114371
166	18460	114191
167	18562	114028
168	18667	113881
169	18786	113822
170	18916	113832
171	19044	113823
172	19159	113740
173	19204	113241
174	19310	113102
175	19435	113077
176	19552	113004
177	19659	112875
178	19785	112852
179	19898	112757
180	20025	112739
181	20146	112686
182	20251	112547
183	20354	112394
184	20470	112311
185	20577	112178
186	20662	111929
187	20784	111883
188	20910	111856
189	21025	111765
190	21152	111743
191	21261	111622
192	21381	111560
193	21500	111493
194	21628	111470
195	21717	111249
196	21818	111084
197	21940	111033
198	22050	110915
199	22165	110828
200	22295	110810
201	22401	110675
202	22435	110189
203	22555	110124
204	22660	109986
205	22770	109874
206	22890	109807
207	23008	109734
208	23137	109711
209	23260	109655
210	23376	109571
211	23494	109491
212	23594	109331
213	23721	109294
214	23857	109301
215	23978	109234
216	24093	109140
217	24215	109081
218	24347	109062
219	24481	109051
220	24608	109013
221	24739	108989
222	24873	108976
223	24980	108842
224	25100	108769
225	25213	108661
226	25333	108587
227	25433	108427
228	25546	108322
229	25648	108170
230	25751	108021
231	25864	107916
232	25959	107737
233	26070	107625
234	26186	107531
235	26293	107404
236	26401	107276
237	26513	107166
238	26614	107014
239	26726	106904
240	26864	106902
241	26992	106856
242	27107	106756
243	27210	106612
244	27327	106519
245	27439	106409
246	27554	106315
247	27653	106153
248	27759	106022
249	27877	105934
250	27997	105856
251	28095	105691
252	28210	105595
253	28322	105482
254	28430	105358
255	28533	105218
256	28649	105123
257	28756	104995
258	28861	104858
259	28961	104708
260	29083	104632
261	29215	104596
262	29319	104458
263	29419	104306
264	29520	104157
265	29624	104018
266	29731	103893
267	29831	103742
268	29929	103584
269	30049	103503
270	30146	103342
271	30262	103246
272	30367	103115
273	30493	103053
274	30600	102929
275	30726	102867
276	30852	102805
277	30975	102732
278	31106	102683
279	31240	102647
280	31361	102565
281	31466	102432
282	31569	102292
283	31702	102252
284	31812	102134
285	31947	102098
286	32076	102042
287	32189	101934
288	32307	101840
289	32421	101737
290	32551	101680
291	32648	101522
292	32761	101413
293	32857	101255
294	32956	101104
295	33055	100954
296	33156	100809
297	33262	100680
298	33380	100588
299	33476	100428
300	33587	100315
301	33694	100189
302	33785	100019
303	33882	99865
304	33994	99753
305	34120	99686
306	34264	99669
307	34377	99560
308	34486	99441
309	34591	99310
310	34718	99242
311	34815	99090
312	34957	99064
313	35087	99006
314	35233	98989
315	35352	98896
316	35457	98766
317	35561	98634
318	35684	98552
319	35773	98376
320	35879	98249
321	35994	98147
322	36112	98052
323	36225	97943
324	36347	97858
325	36482	97808
326	36617	97757
327	36744	97686
328	36873	97620
329	36983	97502
330	37106	97417
331	37222	97316
332	37338	97214
333	37461	97130
334	37577	97029
335	37692	96924
336	37810	96825
337	37936	96749
338	38062	96671
339	38191	96601
340	38321	96534
341	38432	96417
342	38546	96311
343	38652	96180
344	38780	96108
345	38918	96059
346	39023	95927
347	39148	95847
348	39286	95795
349	39389	95661
350	39498	95540
351	39611	95427
352	39737	95346
353	39842	95217
354	39968	95137
355	40071	95002
356	40201	94930
357	40325	94843
358	40438	94732
359	40543	94602
360	40674	94530
361	40784	94412
362	40905	94319
363	41025	94224
364	41127	94086
365	41232	93956
366	41361	93880
367	41476	93773
368	41592	93668
369	41714	93575
370	41824	93456
371	41933	93336
372	42049	93229
373	42152	93096
374	42265	92984
375	42371	92856
376	42487	92751
377	42611	92662
378	42720	92541
379	42834	92432
380	42951	92329
381	43080	92249
382	43205	92164
383	43310	92034
384	43409	91892
385	43519	91775
386	43631	91659
387	43743	91545
388	43832	91384
389	43972	91327
390	44099	91245
391	44214	91136
392	44323	91015
393	44440	90912
394	44552	90796
395	44671	90697
396	44803	90622
397	44923	90524
398	45027	90392
399	45151	90303
400	45275	90211
401	45369	90062
402	45500	89985
403	45644	89932
404	45762	89829
405	45887	89741
406	46003	89634
407	46116	89519
408	46241	89429
409	46364	89336
410	46479	89227
411	46595	89119
412	46714	89016
413	46832	88914
414	46955	88819
